18,1094,E
6,1126,J
14,1136,G
13,1149,E
2,1256,A
15,1264,J
6,1311,C
11,1318,C
14,1337,D
8,1409,D
14,1417,E
2,1470,A
12,1476,D
5,1479,G
2,1005,J
14,1032,C
19,1065,E
6,1076,J
17,1093,G
1,1097,K
8,1109,H
15,1110,A
16,1141,C
20,1155,I
18,1168,E
1,1217,B
17,1232,D
14,1319,C
17,1348,G
19,1477,I
14,1496,J
3,1026,D
18,1053,G
3,1061,C
20,1084,F
14,1146,K
2,1175,B
14,1193,A
20,1262,C
13,1265,C
4,1290,A
8,1352,A
18,1372,C
18,1376,G
4,1426,H
18,1456,E
8,1487,E
6,1113,A
10,1133,A
5,1212,J
3,1231,J
4,1334,B
2,1412,B
17,1414,H
13,1438,J
3,1448,C
3,1475,E
4,1485,J
16,1497,G
19,1017,K
17,1086,G
12,1126,D
7,1162,B
13,1171,I
2,1188,E
3,1253,G
8,1281,J
13,1290,H
11,1300,D
10,1301,E
7,1372,G
11,1395,D
1,1471,A
11,1474,D
8,1492,A
19,1010,H
3,1010,J
1,1020,H
9,1073,J
10,1114,H
8,1127,F
17,1198,E
3,1200,F
13,1218,H
3,1244,J
14,1275,B
17,1304,K
10,1353,J
18,1364,K
11,1395,K
11,1409,J
8,1474,J
2,1478,E
18,1040,A
12,1067,K
20,1099,E
14,1099,A
2,1184,A
16,1190,A
6,1205,A
2,1212,I
7,1223,K
14,1434,K
15,1489,E
2,1002,J
20,1018,G
14,1096,H
9,1115,I
18,1146,G
4,1162,E
1,1184,C
18,1241,I
16,1250,F
6,1263,J
4,1280,J
19,1290,H
17,1294,H
14,1336,A
18,1374,E
6,1001,F
15,1021,K
6,1092,A
1,1105,A
15,1117,F
2,1172,J
18,1202,J
15,1220,D
5,1239,D
12,1287,C
5,1397,H
13,1418,F
9,1455,A
16,1472,B
9,1039,C
16,1062,C
7,1078,A
3,1081,A
15,1089,D
19,1118,C
7,1120,D
17,1154,J
11,1159,H
12,1197,K
15,1212,B
5,1247,D
17,1250,A
3,1334,K
13,1392,J
18,1394,C
9,1422,J
2,1436,I
20,1015,J
11,1048,F
7,1254,C
1,1340,G
4,1419,H
2,1467,I
20,1019,K
3,1029,J
2,1029,F
8,1050,K
19,1059,K
1,1085,D
15,1089,B
17,1098,A
8,1107,K
18,1125,B
9,1164,J
14,1190,F
9,1211,H
13,1223,B
9,1282,D
20,1322,D
18,1329,A
18,1372,K
3,1382,B
11,1417,C
17,1473,A
7,1491,I
10,1079,A
16,1098,A
1,1108,F
1,1131,E
17,1197,J
8,1244,D
19,1297,C
1,1300,A
6,1305,B
12,1348,F
17,1378,H
16,1383,G
6,1387,G
8,1432,B
20,1455,A
13,1464,F
18,1471,I
20,1064,C
4,1120,A
9,1133,G
20,1183,E
20,1282,G
2,1335,I
10,1387,E
7,1395,F
15,1410,F
16,1034,G
15,1061,C
3,1086,A
18,1172,A
5,1173,H
8,1186,A
15,1193,A
18,1285,D
8,1328,F
17,1352,J
7,1489,G
11,1071,F
13,1116,K
20,1118,F
20,1205,F
18,1217,A
19,1351,E
18,1358,D
15,1405,C
1,1455,K
14,1476,I
13,1089,I
6,1142,F
15,1183,J
16,1226,A
7,1335,D
4,1337,E
4,1381,J
7,1439,J
4,1493,I
10,1495,I
7,1044,G
7,1083,D
6,1087,J
13,1096,F
7,1142,D
3,1208,J
1,1405,F
16,1436,C
17,1436,J
9,1020,C
16,1043,E
7,1049,F
19,1085,C
19,1090,F
14,1171,C
4,1185,A
7,1196,F
14,1221,B
19,1273,G
5,1282,I
7,1284,A
1,1290,G
6,1330,H
17,1337,B
19,1338,D
9,1395,H
6,1395,C
10,1410,K
4,1481,B
18,1498,G
2,1039,J
19,1080,G
17,1103,C
16,1123,B
10,1142,K
18,1191,C
6,1237,D
13,1318,J
15,1331,C
4,1332,A
9,1346,A
5,1353,E
11,1406,D
17,1415,J
10,1442,D
6,1481,J
4,1014,J
2,1039,C
5,1066,G
12,1086,A
9,1128,E
10,1139,I
5,1155,I
12,1159,A
2,1163,D
5,1169,G
11,1179,C
9,1203,C
11,1268,A
19,1301,F
18,1351,K
11,1404,G
10,1416,A
3,1488,A
